application_name,platform,key_combination,title,description,category,confidence_score,extraction_method
VS Code,Windows,"Ctrl+Shift+P, F1",Show Command Palette,Show Command Palette,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+P,"Quick Open, Go to File…","Quick Open, Go to File…",General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Shift+N,New window/instance,New window/instance,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Shift+W,Close window/instance,Close window/instance,General,100.0,simple_ai_claude
VS Code,Windows,"Ctrl+,",User Settings,User Settings,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+K Ctrl+S,Keyboard Shortcuts,Keyboard Shortcuts,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+X,Cut line (empty selection),Cut line (empty selection),General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+C,Copy line (empty selection),Copy line (empty selection),General,100.0,simple_ai_claude
VS Code,Windows,Alt+↑ / ↓,Move line up/down,Move line up/down,General,100.0,simple_ai_claude
VS Code,Windows,Shift+Alt+↓ / ↑,Copy line up/down,Copy line up/down,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Shift+K,Delete line,Delete line,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Enter,Insert line below,Insert line below,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Shift+Enter,Insert line above,Insert line above,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Shift+\,Jump to matching bracket,Jump to matching bracket,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+] / [,Indent/outdent line,Indent/outdent line,General,100.0,simple_ai_claude
VS Code,Windows,Home / End,Go to beginning/end of line,Go to beginning/end of line,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+Home,Go to beginning of file,Go to beginning of file,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+End,Go to end of file,Go to end of file,General,100.0,simple_ai_claude
VS Code,Windows,Ctrl+↑ / ↓,Scroll line up/down,Scroll line up/down,General,100.0,simple_ai_claude
VS Code,Windows,Alt+PgUp / PgDn,Scroll page up/down,Scroll page up/down,General,100.0,simple_ai_claude
