application_name,platform,key_combination,title,description,category,confidence_score,extraction_method,run_version,timestamp
macOS,macOS,Command-X,Cut the selected item and copy it to the Clipboard,Cut the selected item and copy it to the Clipboard,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-C,Copy the selected item to the Clipboard,Copy the selected item to the Clipboard,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-V,Paste the contents of the Clipboard into the current document or app,Paste the contents of the Clipboard into the current document or app,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-Z,Undo the previous command,Undo the previous command,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-Z,"Redo, reversing the undo command","Redo, reversing the undo command",General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-A,Select All items,Select All items,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-F,Find items in a document or open a Find window,Find items in a document or open a Find window,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-G,Find the previous occurrence of the item previously found,Find the previous occurrence of the item previously found,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-H,Hide the windows of the front app,Hide the windows of the front app,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Option-Command-H,View the front app but hide all other apps,View the front app but hide all other apps,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-M,Minimize the front window to the Dock,Minimize the front window to the Dock,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Option-Command-M,Minimize all windows of the front app,Minimize all windows of the front app,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-O,"Open the selected item, or open a dialog to select a file to open","Open the selected item, or open a dialog to select a file to open",General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-P,Print the current document,Print the current document,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-S,Save the current document,Save the current document,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-T,Open a new tab,Open a new tab,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Option-Command-W,Close all windows of the app,Close all windows of the app,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Option-Command-Esc,Force quit an app,Force quit an app,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-Space bar,Show or hide the Spotlight search field,Show or hide the Spotlight search field,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-Option-Space bar,Perform a Spotlight search from a Finder window,Perform a Spotlight search from a Finder window,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Control-Command-Space bar,"Show the Character Viewer, from which you can choose emoji and other symbols","Show the Character Viewer, from which you can choose emoji and other symbols",General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Control-Command-F,"Use the app in full screen, if supported by the app","Use the app in full screen, if supported by the app",General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Space bar,Use Quick Look to preview the selected item,Use Quick Look to preview the selected item,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Command-Tab,Switch to the next most recently used app among your open apps,Switch to the next most recently used app among your open apps,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-5,Take a screenshot or make a screen recording,Take a screenshot or make a screen recording,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-3,Take a screenshot,Take a screenshot,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-4,Take a screenshot,Take a screenshot,General,100.0,simple_ai_claude,001,20260111_122012
macOS,macOS,Shift-Command-N,Create a new folder in the Finder,Create a new folder in the Finder,General,100.0,simple_ai_claude,001,20260111_122012
