application_name,platform,key_combination,title,description,category,confidence_score,extraction_method
IntelliJ IDEA,macOS,⌘+Space,Smart code completion,Smart code completion,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,"Double""",Search everywhere,Search everywhere,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+↩,Show intention actions and quick-fixes,Show intention actions and quick-fixes,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,"⌘+N, ⌥+↩",Generate code,Generate code,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+P,Parameter info,Parameter info,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+&,Extend selection,Extend selection,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+',Shrink selection,Shrink selection,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+E,Recent files popup,Recent files popup,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌥+F6,Rename,Rename,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+0...⌘+9,Open corresponding tool window,Open corresponding tool window,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+S,Save all,Save all,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+#Y,Synchronize,Synchronize,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+F12,Toggle maximizing editor,Toggle maximizing editor,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+I,Inspect current file with current profile,Inspect current file with current profile,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌥+`,Quick switch current scheme,Quick switch current scheme,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,"⌘+,",Open Settings dialog,Open Settings dialog,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+;,Open Project Structure dialog,Open Project Structure dialog,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+A,Find Action,Find Action,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,F8,Step over,Step over,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,F7,Step into,Step into,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌥+F7,Smart step into,Smart step into,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌥+F8,Step out,Step out,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+F9,Run to cursor,Run to cursor,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+F8,Evaluate expression,Evaluate expression,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+#R,Resume program,Resume program,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+F8,Toggle breakpoint,Toggle breakpoint,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+F8,View breakpoints,View breakpoints,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,"Double""",Search everywhere,Search everywhere,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+F,Find,Find,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+G,Find next,Find next,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+G,Find previous,Find previous,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+R,Replace,Replace,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+F,Find in path,Find in path,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+R,Replace in path,Replace in path,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌥+G,Select next occurrence,Select next occurrence,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌥+⌘+G,Select all occurrences,Select all occurrences,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌥+G,Unselect occurrence,Unselect occurrence,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌥+Space,Basic code completion,Basic code completion,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+↩,Complete statement,Complete statement,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+P,Parameter info,Parameter info,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,"⌘+J, F1",Quick documentation lookup,Quick documentation lookup,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌥+F1,External Doc,External Doc,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+Q,Brief Info,Brief Info,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+F1,Show descriptions of error at caret,Show descriptions of error at caret,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,"⌘+N, ⌥+↩",Generate code...,Generate code...,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌥+O,Override methods,Override methods,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌥+I,Implement methods,Implement methods,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+T,Surround with...,Surround with...,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+/,Comment/uncomment with line comment,Comment/uncomment with line comment,General,100.0,simple_ai_claude
IntelliJ IDEA,macOS,⌘+⌥+/,Comment/uncomment with block comment,Comment/uncomment with block comment,General,100.0,simple_ai_claude
