application_name,platform,key_combination,title,description,category,confidence_score,extraction_method,run_version,timestamp
JupyterLab,Windows,Shift+Enter,"Run selected cell or cells - if no cells below, insert a code cell below","Run selected cell or cells - if no cells below, insert a code cell below",General,95.0,simple_ai_claude,001,20260111_122012
JupyterLab,Windows,Ctrl + B,Toggle hide/show left sidebar,Toggle hide/show left sidebar,General,95.0,simple_ai_claude,001,20260111_122012
JupyterLab,Windows,Ctrl + S,Save and checkpoint,Save and checkpoint,General,95.0,simple_ai_claude,001,20260111_122012
JupyterLab,Windows,Ctrl + Shift + S,Save as,Save as,General,95.0,simple_ai_claude,001,20260111_122012
JupyterLab,Windows,Ctrl + F,Find,Find,General,95.0,simple_ai_claude,001,20260111_122012
JupyterLab,Windows,Enter,Enter edit mode in the active cell,Enter edit mode in the active cell,General,95.0,simple_ai_claude,001,20260111_122012
JupyterLab,Windows,Up Arrow,Scroll up,Scroll up,General,95.0,simple_ai_claude,001,20260111_122012
JupyterLab,Windows,Down Arrow,Scroll down,Scroll down,General,95.0,simple_ai_claude,001,20260111_122012
JupyterLab,Windows,A,Insert a new cell above the active cell,Insert a new cell above the active cell,General,95.0,simple_ai_claude,001,20260111_122012
JupyterLab,Windows,B,Insert a new cell below the active cell,Insert a new cell below the active cell,General,95.0,simple_ai_claude,001,20260111_122012
JupyterLab,Windows,M,Make the active cell a Markdown cell,Make the active cell a Markdown cell,General,95.0,simple_ai_claude,001,20260111_122012
JupyterLab,Windows,Y,Make the active cell a code cell,Make the active cell a code cell,General,95.0,simple_ai_claude,001,20260111_122012
JupyterLab,Windows,Shift+Up Arrow,Select the current cell and the cell above,Select the current cell and the cell above,General,95.0,simple_ai_claude,001,20260111_122012
JupyterLab,Windows,Shift+Down Arrow,Select the current cell and the cell below,Select the current cell and the cell below,General,95.0,simple_ai_claude,001,20260111_122012
JupyterLab,Windows,Ctrl + A,Select all cells,Select all cells,General,95.0,simple_ai_claude,001,20260111_122012
JupyterLab,Windows,X,Cut the selected cell or cells,Cut the selected cell or cells,General,95.0,simple_ai_claude,001,20260111_122012
JupyterLab,Windows,C,Copy the selected cell or cells,Copy the selected cell or cells,General,95.0,simple_ai_claude,001,20260111_122012
JupyterLab,Windows,V,Paste the cell(s) which were copied or cut most recently,Paste the cell(s) which were copied or cut most recently,General,95.0,simple_ai_claude,001,20260111_122012
